,Researcher,H-index,Citations,Publications,University Name,Country
0,Wil M. P. van der Aalst,172,135277,1337,RWTH Aachen University,                    Germany                
1,Hermann Ney,112,61670,985,RWTH Aachen University,                    Germany                
2,Stefan Decker,78,24886,397,RWTH Aachen University,                    Germany                
3,Bastian Leibe,76,28761,215,RWTH Aachen University,                    Germany                
4,Leif Kobbelt,76,23242,329,RWTH Aachen University,                    Germany                
5,Joost-Pieter Katoen,71,25767,472,RWTH Aachen University,                    Germany                
6,Gerhard J. Woeginger,71,17490,499,RWTH Aachen University,                    Germany                
7,Matthias Jarke,69,21481,623,RWTH Aachen University,                    Germany                
8,Heinrich Meyr,61,17942,397,RWTH Aachen University,                    Germany                
9,Bernhard Rumpe,59,14927,621,RWTH Aachen University,                    Germany                
10,Martin Grohe,56,15816,235,RWTH Aachen University,                    Germany                
11,Markus Diesmann,55,11721,279,RWTH Aachen University,                    Germany                
12,Rainer Leupers,53,8581,456,RWTH Aachen University,                    Germany                
13,Petri Mahonen,51,11230,439,RWTH Aachen University,                    Germany                
14,Ralf Schlüter,48,11118,261,RWTH Aachen University,                    Germany                
15,Hector Geffner,48,10959,158,RWTH Aachen University,                    Germany                
16,Martina Ziefle,46,9258,515,RWTH Aachen University,                    Germany                
17,Klaus Wehrle,43,11185,395,RWTH Aachen University,                    Germany                
18,Peter Vary,41,8432,375,RWTH Aachen University,                    Germany                
19,Jürgen Giesl,41,5850,167,RWTH Aachen University,                    Germany                
20,Wolfgang Thomas,40,12337,172,RWTH Aachen University,                    Germany                
21,Jan Borchers,38,7507,316,RWTH Aachen University,                    Germany                
22,Erich Grädel,37,9297,174,RWTH Aachen University,                    Germany                
23,Peter Rossmanith,37,4516,147,RWTH Aachen University,                    Germany                
24,Til Aach,36,5988,277,RWTH Aachen University,                    Germany                
25,Gerd Ascheid,36,5943,489,RWTH Aachen University,                    Germany                
26,Janne Riihijarvi,36,5288,207,RWTH Aachen University,                    Germany                
27,Rudolf Mathar,34,5797,448,RWTH Aachen University,                    Germany                
28,Haris Gacanin,32,4573,281,RWTH Aachen University,                    Germany                
